A7S1AV8RM7GMF,A7S1AV8RM7GMF-1-3287-3,1,1
A26KOGQVJXSXER,A26KOGQVJXSXER-1-11864-4,Male,male
A26KOGQVJXSXER,A26KOGQVJXSXER-1-13101-4,LOGAN,LOGAN
A26KOGQVJXSXER,A26KOGQVJXSXER-1-7165-4,4,3.8
A26KOGQVJXSXER,A26KOGQVJXSXER-1-11566-4,Male,male
A26KOGQVJXSXER,A26KOGQVJXSXER-1-9158-4,3,4.33
A26KOGQVJXSXER,A26KOGQVJXSXER-1-13879-4,CLARA,CLARA
A26KOGQVJXSXER,A26KOGQVJXSXER-1-7578-4,4,2.8
A26KOGQVJXSXER,A26KOGQVJXSXER-1-13496-4,NOAH,NOAH
A26KOGQVJXSXER,A26KOGQVJXSXER-1-2777-4,4,1
A26KOGQVJXSXER,A26KOGQVJXSXER-1-2445-4,5,7
A26KOGQVJXSXER,A26KOGQVJXSXER-2-11401-5,Male,male
A26KOGQVJXSXER,A26KOGQVJXSXER-2-386-5,I can't tell,I can't tell
A26KOGQVJXSXER,A26KOGQVJXSXER-2-8298-5,1,4.67
A26KOGQVJXSXER,A26KOGQVJXSXER-2-5255-5,no,no
A26KOGQVJXSXER,A26KOGQVJXSXER-2-3283-5,1,1
A26KOGQVJXSXER,A26KOGQVJXSXER-2-4648-5,yes,yes
A26KOGQVJXSXER,A26KOGQVJXSXER-2-18669-5,Positive,Neutral
A26KOGQVJXSXER,A26KOGQVJXSXER-2-5388-5,no,unk
A26KOGQVJXSXER,A26KOGQVJXSXER-2-18080-5,Positive,Neutral
A26KOGQVJXSXER,A26KOGQVJXSXER-3-18372-6,Positive,Neutral
A26KOGQVJXSXER,A26KOGQVJXSXER-3-5574-6,no,no
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-1-18988-7,Highly positive,Neutral
A26KOGQVJXSXER,A26KOGQVJXSXER-3-5121-6,no,no
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-2-1611-8,Yes,Yes
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-2-13852-8,Yohan,YOHAN
A26KOGQVJXSXER,A26KOGQVJXSXER-3-15313-6,FALSE,FALSE
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-3-12256-9,Victoria,VICTORIA
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-3-1880-9,Yes,Yes
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-4-11595-10,Male,male
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-5-17287-11,Information,Action
A2ACM7E2DF0FBY,A2ACM7E2DF0FBY-5-6599-11,5,3.83
A26KOGQVJXSXER,A26KOGQVJXSXER-3-17894-6,Information,Information
A26KOGQVJXSXER,A26KOGQVJXSXER-3-9496-6,1,2.67
A26KOGQVJXSXER,A26KOGQVJXSXER-3-15288-6,FALSE,TRUE
A26KOGQVJXSXER,A26KOGQVJXSXER-3-767-6,I can't tell,Yes
A26KOGQVJXSXER,A26KOGQVJXSXER-3-14272-6,FALSE,FALSE
A26KOGQVJXSXER,A26KOGQVJXSXER-3-1074-6,I can't tell,I can't tell
A26KOGQVJXSXER,A26KOGQVJXSXER-4-1417-7,Yes,Yes
A26KOGQVJXSXER,A26KOGQVJXSXER-4-1891-7,I can't tell,Yes
A26KOGQVJXSXER,A26KOGQVJXSXER-4-14888-7,FALSE,FALSE
A26KOGQVJXSXER,A26KOGQVJXSXER-4-11628-7,Male,male
A26KOGQVJXSXER,A26KOGQVJXSXER-4-698-7,Yes,Yes
A26KOGQVJXSXER,A26KOGQVJXSXER-4-8074-7,1,3.33
A26KOGQVJXSXER,A26KOGQVJXSXER-4-11728-7,Unsure,unsure
A26KOGQVJXSXER,A26KOGQVJXSXER-4-10372-7,Female,female
A26KOGQVJXSXER,A26KOGQVJXSXER-4-6155-7,4,4
